customer_name,zip_count,location_count,zip_codes
Brookdale ,2,2,"95376,94061"
"Oyster & Oyster Investments, LLC",2,2,"94063,94027"
DaVita ,2,2,"95205,95691"
UCDHS Accounts Payable Dept,2,2,"95670,95816"
RoSa Construction Inc.,2,2,"94568,94577"
Chabot - Las Positas Community CollEge District,2,2,"94568,94551"
Good Samaritan Hospital ,2,2,"95124,95032"
South Bay Development Company,2,2,"95054,92602"
Santa Rosa VA LLC,2,2,"95407,89106"
"Royal Glass Company, Inc.",2,2,"95054,95742"
Kelly Paper Corporate,2,2,"90670,91789"
Seabreeze Management,2,2,"94588,95116"
Cleaners ,2,2,"94122,94112"
"Gordon Prill, Inc.",2,2,"94089,94305"
Campus Surgery Center A/P,2,2,"94040,94015"
Walter Adams Framing ,2,2,"94127,94115"
DaVita Dialysis,2,2,"94595,94544"
Dignity Health,2,2,"95670,95616"
Roseville Health Care Center,2,2,"95661,95746"
Equity Apartments,2,2,"60606,94107"
"33 Grant Owner, LLC ",2,2,"10185,94108"
La Quinta Inn & Suites ,2,2,"94568,94534"
"LMOA, LLC ",2,2,"94588,95035"
Roberts Market,2,2,"94062,94028"
Blach Construction Company,2,2,"93940,95131"
Stanford HealthCare ,2,2,"94607,95124"
Dehoff’s Key Market,2,2,"94070,94061"
Sonoma County Library ,2,2,"95407,94952"
YMCA of Silicon Valley,2,2,"95128,95051"
PAMF Sutter- Los Gatos MOB,2,2,"95032,95030"
Kelly Moore Paint ,2,2,"94806,94404"
City College Of San Francisco - Chinatown Campus,2,2,"94133,94111"
"A-N SFD Owner, LLC  d/b/a  Beacon Grand, a Union Square Hotel",2,2,"28237,94102"
"Total Facility Services, Inc.",2,2,"33064,33062"
Hyatt Place ,2,2,"94568,94560"
"Cap Oz 34, LLC c/o RiverRock Real Estate Group",2,2,"94520,95008"
"RiverRock Real Estate Group, Inc",2,2,"94596,94520"
Baxter Construction ,2,2,"94124,94105"
The Irvine Company,2,2,"95054,92660"
El Camino Health,2,2,"94040,95032"
Reno’s Floor Covering,2,2,"94590,94801"
CB2 Builders,2,2,"94133,94801"
UCSF Primary & Specialty Care,2,2,"94403,94065"
C S Erectors Inc,2,2,"94583,95822"
Green Acres Nursery & Supply - Main Office ,2,2,"95630,95624"
76 Gas Station,2,2,"94585,94080"
Novo Construction,2,2,"94025,94949"
Keysight Technologies ,2,2,"95403,95747"
Contra Costa Regional Med Center,2,2,"94553,94806"
Radds Holdings,2,2,"94063,95008"
Cobalt Construction Company,2,2,"95035,95126"
Legend Construction and Painting Inc. ,2,2,"95603,95658"
"Ardenbrook, Inc",2,2,"94577,94536"
City of palo alto,2,2,"94306,94303"
Dignity Health - Methodist Hospital,2,2,"95823,95757"
Webb Builders,2,2,"94063,94025"
University Healthcare Alliance,2,2,"94546,95032"
Landmark Construction,2,2,"94014,95677"
7-Eleven ,2,2,"94104,94118"
Round Table Pizza,2,2,"94061,94070"
Nordstrom,2,2,"94608,94403"
US Prime Contractor,2,2,"94113,94010"
Catholic Charities of San Francisco,2,2,"94122,94903"
Mercy Medical Center ,2,2,"95340,96001"
Allied Propane Service,2,2,"94558,94804"
"EAH, Inc.",2,2,"94901,91361"
Grant Building Investments,2,2,"94945,94903"
Natividad Medical Center,2,2,"93912,93906"
Epic Care - Castro Valley,2,2,"94546,94608"
Epic Care - Dublin,2,2,"94568,94509"
UCDMC Facilities Support Services,2,2,"95817,95820"
Dollar General ,2,2,"94520,94509"
Motel 6,2,2,"94591,94558"
Mike’s Bikes ,2,2,"94965,94901"
JDL Glass LLC,2,2,"92054,95301"
"Kirby Construction Co., Inc.",2,2,"95403,95404"
U.S. Renal Care,2,2,"93940,95361"
Centerra Capital,2,2,"95350,95353"
"Lola’s Market, Inc.",2,2,"95409,94954"
FTG Builders,2,2,"95103,95050"
Residential Home,2,2,"94027,95060"
Spring Tide Shotwell,2,2,"94025,94103"
Mollie Stone’s,2,2,"94306,94114"
Hyatt Regency,2,2,"95054,95814"
Webcor Builders,2,2,"94107,94502"
Crippen & Flynn Carlmont Chapel,2,2,"94002,94061"
Silicon Valley Medical Development,2,2,"95126,95032"
Community Development Commission,2,2,"95490,95482"
WOODY'S LOCK AND SAFE,2,2,"95482,95405"
Big Creek Lumber,2,2,"95076,95062"
Century Management,2,2,"94597,94549"
Golden State Orthopedics & Spine,2,2,"94598,94583"
Contra Costa Imaging Center,2,2,"94598,94520"
Kaiser Construction Services,2,2,"94598,94063"
Whole Foods,2,2,"94598,94114"
Arboleda Apartments (Satellite Housing),2,2,"94597,94509"
Grass Valley Self Storage,2,2,"94597,95945"
Hall Equities Group,2,2,"94598,94596"
Lowe’s,2,2,"94591,94124"
"Cannon Constructers North, Inc. ",2,2,"94592,94080"
ACL Building & Development ,2,2,"94960,94952"
Plan It Building Maintenance ,2,2,"95356,95329"
Sutter Gould Medical Foundation,2,2,"95355,95209"
"Larry Corona Construction, Inc.",2,2,"95350,95368"
Kaiser Behavior Health,2,2,"95356,95330"
C M Construction and Maintenance ,2,2,"95358,95201"
Spirit Halloween,2,2,"95624,95603"
Great Clips,2,2,"95926,95948"
Biomed Realty GOP2 Forum,2,2,"94608,94080"
